#x	Q2	z	h2p	h2pnr	h2perr	d2p	d2pnr	d2perr	h2n	h2nnr	h2nerr	d2n	d2nnr	d2nerr	index	w
0.445	4.476	0.325	0.9815	0.9717	0.0173	0.8414	0.8287	0.0148	0.5556	0.5448	0.0175	0.6343	0.6215	0.0147	3	2.5
0.445	4.476	0.375	0.7108	0.7009	0.0085	0.6178	0.6057	0.0073	0.3841	0.3733	0.0076	0.447	0.4346	0.0068	3	2.5
0.445	4.476	0.425	0.5516	0.5421	0.0049	0.4755	0.4636	0.0042	0.2836	0.2743	0.0039	0.3197	0.3078	0.0035	3	2.5
0.445	4.476	0.475	0.4216	0.4123	0.0036	0.3609	0.3493	0.003	0.2048	0.1957	0.0027	0.2357	0.2239	0.0024	3	2.5
0.445	4.476	0.525	0.3037	0.2943	0.0028	0.2618	0.2503	0.0022	0.1394	0.13	0.002	0.1672	0.1553	0.0018	3	2.5
0.445	4.476	0.575	0.2338	0.2246	0.0023	0.2019	0.1905	0.0017	0.1059	0.0964	0.0017	0.1249	0.1134	0.0015	3	2.5
0.445	4.476	0.625	0.185	0.1747	0.0022	0.1556	0.1431	0.0015	0.0745	0.064	0.0015	0.0963	0.0836	0.0014	3	2.5
0.445	4.476	0.675	0.1432	0.1346	0.0023	0.1181	0.1068	0.0016	0.054	0.0459	0.0016	0.0704	0.0593	0.0014	3	2.5
0.348	3.986	0.375	0.6641	0.6537	0.0073	0.593	0.5801	0.0072	0.3811	0.3706	0.0067	0.4153	0.4023	0.0082	4	2.9
0.348	3.986	0.425	0.5035	0.4946	0.0046	0.4548	0.443	0.0048	0.2698	0.2608	0.004	0.3126	0.3016	0.005	4	2.9
0.348	3.986	0.475	0.3653	0.3562	0.0036	0.3136	0.3017	0.0041	0.185	0.1758	0.003	0.211	0.1995	0.0035	4	2.9
0.348	3.986	0.525	0.2612	0.2517	0.0031	0.2437	0.2326	0.0037	0.1368	0.1272	0.0023	0.1576	0.1466	0.003	4	2.9
0.348	3.986	0.575	0.1871	0.1784	0.0023	0.169	0.1585	0.0025	0.0977	0.089	0.0016	0.1036	0.0928	0.0023	4	2.9
0.348	3.986	0.625	0.1719	0.1631	0.0024	0.1525	0.1415	0.0018	0.085	0.0762	0.0014	0.0918	0.0806	0.0022	4	2.9
0.348	3.986	0.675	0.135	0.1263	0.0018	0.1205	0.1096	0.0013	0.0617	0.0529	0.001	0.068	0.0568	0.0015	4	2.9
0.348	3.986	0.725	0.1185	0.1098	0.0021	0.1005	0.09	0.0013	0.0519	0.043	0.0011	0.0587	0.0481	0.0014	4	2.9
0.348	3.986	0.775	0.0994	0.0904	0.0034	0.0791	0.0685	0.0019	0.0431	0.0344	0.0016	0.0455	0.0351	0.0018	4	2.9
0.45	3.901	0.375	0.7699	0.7567	0.0114	0.6727	0.6565	0.0101	0.3611	0.3476	0.007	0.4194	0.4028	0.0074	5	2.4
0.45	3.901	0.425	0.5815	0.5682	0.0071	0.4971	0.4799	0.0062	0.2739	0.2603	0.004	0.3135	0.296	0.0042	5	2.4
0.45	3.901	0.475	0.441	0.4287	0.0057	0.3743	0.3592	0.005	0.1978	0.1853	0.003	0.2326	0.2174	0.0032	5	2.4
0.45	3.901	0.525	0.3496	0.3379	0.0047	0.2997	0.2857	0.0039	0.1603	0.1485	0.0023	0.1744	0.1604	0.0024	5	2.4
0.45	3.901	0.575	0.2705	0.2597	0.0041	0.2215	0.2079	0.0032	0.1159	0.1052	0.0019	0.1296	0.116	0.0021	5	2.4
0.45	3.901	0.625	0.2159	0.2046	0.0036	0.168	0.1542	0.0032	0.0803	0.0694	0.0018	0.0988	0.0851	0.002	5	2.4
0.45	3.901	0.675	0.1766	0.1643	0.0067	0.1556	0.1398	0.008	0.0763	0.0647	0.0045	0.0923	0.077	0.0045	5	2.4
0.445	4.721	0.375	0.7797	0.7704	0.0111	0.6938	0.6816	0.0093	0.4086	0.3991	0.0068	0.4652	0.4529	0.0072	6	2.6
0.445	4.721	0.425	0.6005	0.5921	0.007	0.5015	0.4908	0.0057	0.2972	0.2886	0.004	0.3267	0.3159	0.0042	6	2.6
0.445	4.721	0.475	0.424	0.4152	0.005	0.3553	0.3444	0.0042	0.2185	0.2095	0.0028	0.2332	0.2221	0.003	6	2.6
0.445	4.721	0.525	0.3181	0.3099	0.004	0.2941	0.2836	0.0035	0.1599	0.1515	0.0021	0.1782	0.1675	0.0024	6	2.6
0.445	4.721	0.575	0.2438	0.2357	0.0034	0.2004	0.1902	0.0029	0.1124	0.1043	0.0017	0.1221	0.1119	0.0019	6	2.6
0.445	4.721	0.625	0.2165	0.2081	0.0033	0.1759	0.1656	0.0028	0.0865	0.0782	0.0015	0.1032	0.0929	0.0017	6	2.6
0.445	4.721	0.675	0.1667	0.1586	0.0031	0.1282	0.1182	0.0025	0.063	0.0549	0.0014	0.0768	0.0668	0.0016	6	2.6
0.445	4.721	0.725	0.1326	0.1248	0.0061	0.1175	0.1069	0.005	0.053	0.0457	0.0025	0.0654	0.0551	0.0029	6	2.6
0.549	4.76	0.375	0.7899	0.7773	0.0103	0.6512	0.6353	0.0088	0.3702	0.3572	0.0071	0.4611	0.4449	0.0081	7	2.2
0.549	4.76	0.425	0.5883	0.5758	0.0068	0.4824	0.4667	0.0058	0.2633	0.2505	0.0042	0.3375	0.3217	0.0048	7	2.2
0.549	4.76	0.475	0.4527	0.4412	0.0063	0.3652	0.3502	0.0055	0.2078	0.1968	0.0039	0.2489	0.2341	0.0039	7	2.2
0.549	4.76	0.525	0.3707	0.3602	0.0055	0.3001	0.2869	0.0048	0.1656	0.1551	0.0026	0.1828	0.1695	0.003	7	2.2
0.549	4.76	0.575	0.3261	0.3157	0.0073	0.2499	0.237	0.0057	0.1277	0.1176	0.0031	0.1462	0.1333	0.0037	7	2.2
0.549	4.76	0.625	0.2275	0.2178	0.0074	0.1881	0.1756	0.006	0.0908	0.0817	0.0031	0.1108	0.0986	0.0037	7	2.2
0.594	5.543	0.375	0.7267	0.7183	0.0369	0.6188	0.6068	0.018	0.3481	0.3395	0.0239	0.4499	0.4383	0.0147	15	2.2
0.594	5.543	0.425	0.5471	0.5373	0.0176	0.461	0.4483	0.0089	0.2445	0.2358	0.0099	0.3029	0.29	0.0066	15	2.2
0.594	5.543	0.475	0.4272	0.4185	0.0119	0.3565	0.3448	0.006	0.1709	0.1619	0.006	0.2178	0.2052	0.004	15	2.2
0.594	5.543	0.525	0.3273	0.3182	0.0116	0.2721	0.26	0.0056	0.1271	0.1192	0.0053	0.1644	0.1523	0.0035	15	2.2
0.594	5.543	0.575	0.2273	0.2192	0.0099	0.2032	0.1915	0.0053	0.0944	0.0845	0.0048	0.1205	0.1084	0.0032	15	2.2
