#x	Q2	z	h2p	h2pnr	dh2perr	d2p	d2pnr	d2perr	h2n	h2nnr	h2nerr	d2n	d2nnr	d2nerr	index	w
0.445	4.476	0.325	0.9815	0.9717	0.0173	0.8414	0.8287	0.0148	0.5556	0.5448	0.0175	0.6343	0.6215	0.0147	3	2.5
0.445	4.476	0.375	0.7108	0.7009	0.0085	0.6178	0.6057	0.0073	0.3841	0.3733	0.0076	0.447	0.4346	0.0068	3	2.5
0.445	4.476	0.425	0.5516	0.5421	0.0049	0.4755	0.4636	0.0042	0.2836	0.2743	0.0039	0.3197	0.3078	0.0035	3	2.5
0.445	4.476	0.475	0.4216	0.4123	0.0036	0.3609	0.3493	0.003	0.2048	0.1957	0.0027	0.2357	0.2239	0.0024	3	2.5
0.445	4.476	0.525	0.3037	0.2943	0.0028	0.2618	0.2503	0.0022	0.1394	0.13	0.002	0.1672	0.1553	0.0018	3	2.5
0.445	4.476	0.575	0.2338	0.2246	0.0023	0.2019	0.1905	0.0017	0.1059	0.0964	0.0017	0.1249	0.1134	0.0015	3	2.5
0.445	4.476	0.625	0.185	0.1747	0.0022	0.1556	0.1431	0.0015	0.0745	0.064	0.0015	0.0963	0.0836	0.0014	3	2.5
0.445	4.476	0.675	0.1432	0.1346	0.0023	0.1181	0.1068	0.0016	0.054	0.0459	0.0016	0.0704	0.0593	0.0014	3	2.5
0.348	3.986	0.325	0.9554	0.9467	0.0239	0.8369	0.8247	0.0221	0.5873	0.578	0.0263	0.6392	0.6287	0.0292	4	2.9
0.348	3.986	0.375	0.709	0.7006	0.0081	0.6389	0.6287	0.0077	0.3953	0.3867	0.0079	0.4461	0.4353	0.0089	4	2.9
0.348	3.986	0.425	0.5111	0.5027	0.0048	0.4456	0.4351	0.0049	0.2642	0.2555	0.0043	0.3028	0.2919	0.0049	4	2.9
0.348	3.986	0.475	0.3577	0.3484	0.0038	0.3098	0.2989	0.0044	0.1817	0.1726	0.0032	0.2078	0.1965	0.0036	4	2.9
0.348	3.986	0.525	0.2609	0.2516	0.0028	0.2363	0.2256	0.0033	0.1276	0.1186	0.0021	0.1552	0.144	0.0024	4	2.9
0.348	3.986	0.575	0.1927	0.1837	0.0022	0.1798	0.1688	0.0023	0.0971	0.088	0.0016	0.1086	0.0974	0.0018	4	2.9
0.348	3.986	0.625	0.1531	0.144	0.002	0.1422	0.1311	0.0015	0.0775	0.0682	0.0012	0.087	0.0761	0.0014	4	2.9
0.348	3.986	0.675	0.1252	0.1158	0.0017	0.1178	0.1062	0.0013	0.0589	0.0493	0.001	0.0662	0.0547	0.0012	4	2.9
0.348	3.986	0.725	0.1082	0.0993	0.002	0.0908	0.0792	0.0012	0.0457	0.0363	0.0011	0.0499	0.0382	0.0012	4	2.9
0.348	3.986	0.775	0.0821	0.0735	0.0039	0.07	0.0601	0.0019	0.0333	0.0235	0.0022	0.0395	0.0299	0.0021	4	2.9
0.45	3.901	0.325	0.9437	0.9321	0.0353	0.9262	0.9122	0.0263	0.5393	0.5285	0.0205	0.6129	0.5999	0.021	5	2.4
0.45	3.901	0.375	0.74	0.7293	0.0146	0.6821	0.6687	0.0106	0.3852	0.3741	0.0075	0.4474	0.4328	0.008	5	2.4
0.45	3.901	0.425	0.5557	0.5446	0.0094	0.4919	0.4777	0.0065	0.2831	0.2722	0.0044	0.3284	0.3148	0.0047	5	2.4
0.45	3.901	0.475	0.4348	0.4241	0.0078	0.3801	0.3661	0.0052	0.2053	0.1932	0.0033	0.2397	0.226	0.0035	5	2.4
0.45	3.901	0.525	0.3377	0.3263	0.0058	0.2994	0.2863	0.004	0.1573	0.146	0.0025	0.1775	0.1642	0.0026	5	2.4
0.45	3.901	0.575	0.2653	0.2546	0.004	0.2213	0.2078	0.0034	0.1091	0.099	0.002	0.1319	0.1187	0.0022	5	2.4
0.45	3.901	0.625	0.2075	0.1958	0.0033	0.1666	0.1526	0.0032	0.0764	0.0653	0.0019	0.0949	0.0798	0.0022	5	2.4
0.45	3.901	0.675	0.1416	0.13	0.0048	0.1203	0.1025	0.0054	0.0534	0.0406	0.0032	0.0682	0.0549	0.0036	5	2.4
0.445	4.721	0.325	1.0589	1.0511	0.0332	0.9529	0.9432	0.0273	0.6223	0.614	0.0221	0.6809	0.6708	0.0225	6	2.6
0.445	4.721	0.375	0.7597	0.7518	0.0116	0.6909	0.6804	0.0099	0.4209	0.4129	0.0072	0.4835	0.4735	0.0077	6	2.6
0.445	4.721	0.425	0.5789	0.5708	0.007	0.4868	0.4765	0.0058	0.2854	0.2773	0.004	0.3245	0.314	0.0043	6	2.6
0.445	4.721	0.475	0.4169	0.4087	0.0053	0.3546	0.3447	0.0045	0.2141	0.206	0.003	0.2424	0.2319	0.0033	6	2.6
0.445	4.721	0.525	0.3101	0.3026	0.0039	0.2763	0.266	0.0034	0.1471	0.1386	0.0021	0.1688	0.1585	0.0023	6	2.6
0.445	4.721	0.575	0.2347	0.2263	0.0033	0.1938	0.1826	0.0028	0.104	0.0949	0.0017	0.1197	0.1086	0.0019	6	2.6
0.445	4.721	0.625	0.1909	0.1828	0.0029	0.1536	0.1431	0.0024	0.0753	0.0669	0.0014	0.0945	0.0838	0.0016	6	2.6
0.445	4.721	0.675	0.1504	0.1414	0.0033	0.1191	0.108	0.0026	0.0554	0.0471	0.0014	0.0719	0.0613	0.0016	6	2.6
0.445	4.721	0.725	0.1161	0.1069	0.0065	0.1029	0.093	0.005	0.0457	0.0366	0.0029	0.057	0.0469	0.003	6	2.6
0.549	4.76	0.325	1.0241	1.0138	0.0269	0.8679	0.8554	0.023	0.5865	0.5756	0.0205	0.6596	0.6476	0.0246	7	2.2
0.549	4.76	0.375	0.7835	0.7735	0.0116	0.657	0.6438	0.01	0.3828	0.3718	0.0078	0.4692	0.4555	0.0097	7	2.2
0.549	4.76	0.425	0.5927	0.5826	0.0077	0.4874	0.4746	0.0065	0.2593	0.2492	0.0046	0.3404	0.3272	0.0056	7	2.2
0.549	4.76	0.475	0.4633	0.4529	0.007	0.3789	0.3659	0.0057	0.1987	0.1882	0.0038	0.2513	0.2379	0.0043	7	2.2
0.549	4.76	0.525	0.3744	0.3648	0.0059	0.2876	0.2748	0.0047	0.1545	0.1441	0.0029	0.1778	0.1647	0.0032	7	2.2
0.549	4.76	0.575	0.2793	0.2687	0.0059	0.2241	0.2119	0.0047	0.1148	0.1044	0.0027	0.1373	0.1241	0.0032	7	2.2
0.549	4.76	0.625	0.1852	0.1753	0.0072	0.1563	0.1445	0.0056	0.0793	0.0687	0.0034	0.0901	0.0779	0.0037	7	2.2
0.594	5.543	0.375	0.7267	0.7183	0.0369	0.6188	0.6068	0.018	0.3481	0.3395	0.0239	0.4499	0.4383	0.0147	15	2.2
0.594	5.543	0.425	0.5471	0.5373	0.0176	0.461	0.4483	0.0089	0.2445	0.2358	0.0099	0.3029	0.29	0.0066	15	2.2
0.594	5.543	0.475	0.4272	0.4185	0.0119	0.3565	0.3448	0.006	0.1709	0.1619	0.006	0.2178	0.2052	0.004	15	2.2
0.594	5.543	0.525	0.3273	0.3182	0.0116	0.2721	0.26	0.0056	0.1271	0.1192	0.0053	0.1644	0.1523	0.0035	15	2.2
